repo_owner,repo_name,Category,Number of Components,Low,Medium,High,Critical,Total Vulnerabilities,CWE Tags,vulnerability-proneness-all,commits,branches,releases,forks,watchers,stargazers,contributors,size,totalIssues,openIssues,totalPullRequests,openPullRequests,codeLines,labels,topics
aws-actions,amazon-ecs-render-task-definition,deployment,96,0,0,1,0,1," cwe-080,  cwe-116, cwe-020",1.0,30,10,30,148,11,292,25,3468,30,30,30,3,3468000,14,nan
aws-actions,aws-secretsmanager-get-secrets,security,106,0,0,7,0,7," cwe-080,  cwe-116,  cwe-400,  cwe-730, cwe-020",7.0,30,11,17,38,6,151,8,2739,30,16,30,8,2739000,12,nan
balena-io,deploy-to-balena-action,container ci,196,0,0,2,0,2," cwe-080,  cwe-116, cwe-020",2.0,30,30,30,14,15,39,20,2922,30,31,30,4,2922000,19,nan
batista,lint-filenames,utilities,36,0,1,3,0,4," cwe-400,  cwe-730,  cwe-74, cwe-020",4.0,30,12,3,6,2,31,3,1426,30,14,30,6,1426000,11," filenames,  folder-tooling,  github-actions,  lint,  pattern-matching,  quality-assurance,  tooling, actions"
bazelbuild,setup-bazelisk,testing,76,2,2,5,0,9," cwe-200,  cwe-284,  cwe-338,  cwe-400,  cwe-730, cwe-020",9.0,30,1,4,9,5,56,7,1902,30,0,30,0,1902000,12,nan
benc-uk,workflow-dispatch,deployment,5,0,1,1,0,2," cwe-1333,  cwe-400, cwe-020",2.0,30,4,4,128,6,339,5,486,30,12,30,3,486000,10," github,  github-actions, devops"
benchmark-action,github-action-benchmark,code quality,104,0,3,1,1,5," cwe-078,  cwe-088,  cwe-1333,  cwe-400,  cwe-506, cwe-020",5.0,30,6,30,166,7,1064,30,5648,30,111,30,12,5648000,13," ci,  github-action, benchmark"
biomejs,setup-biome,utilities,45,1,2,24,0,27," cwe-200,  cwe-22,  cwe-311,  cwe-367,  cwe-426,  cwe-532,  cwe-59,  cwe-732,  cwe-78, cwe-020",27.0,30,1,10,8,7,63,11,1288,30,1,30,0,1288000,12," biomejs,  formatter,  github-actions,  linter, biome"
blombard,move-to-next-iteration,utilities,25,0,0,2,0,2," cwe-080,  cwe-116, cwe-020",2.0,30,1,6,16,1,38,5,141,25,6,11,0,141000,13,nan
bobheadxi,deployments,deployment,36,0,0,2,0,2,cwe-020,2.0,30,9,24,63,7,387,25,32070,30,12,30,6,32070000,13," github-actions,  github-api,  status, deployments"
