repo_owner,repo_name,Category,Number of Components,vulnerability-proneness-all,branches,releases,forks,watchers,stargazers,contributors,size,totalIssues,openIssues,totalPullRequests,openPullRequests,codeLines,vp-category-equalfreq,description,primary_language,license_name,security_policy_enabled,vulnerability_alerts_enabled,stargazers_count,commit_count,issue_count,network_count,subscribers_count,languages,lang_javascript,lang_typescript,lang_shell,lang_dockerfile,lang_python,lang_mustache,lang_handlebars,lang_html,lang_kotlin,lang_powershell,lang_makefile,lang_smarty,lang_cmake,lang_cplusplus,lang_ruby,lang_vue,lang_css,lang_swift,lang_rust,lang_hcl,lang_batchfile,lang_c#,lang_dart,lang_julia,lang_odin,lang_java,lang_nix,lang_objective_c,lang_jinja,lang_nunjucks,lang_jq,lang_php,lang_agda,lang_lua
julienkode,team-labeler-action,code review,589,3.0,15,6,43,2,49,10,55643,30,9,30,7,55643000,1,⚡️ Github action to label your pull requests based on the author name ⚡️,TypeScript,Apache License 2.0,False,True,49.0,235,273.0,43.0,2.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kylemayes,install-llvm-action,dependency management,284,3.0,2,29,52,6,110,11,1473,30,3,30,2,1473000,1,A GitHub Action for downloading and installing LLVM and Clang binaries.,TypeScript,Apache License 2.0,False,True,112.0,109,85.0,53.0,6.0,"['TypeScript', 'PowerShell']",,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
legion2,swagger-ui-action,utilities,41,2.0,8,13,8,2,53,4,2942,30,11,30,7,2942000,0,Generate Swagger UI in a GitHub Actions workflow,TypeScript,MIT License,False,True,54.0,468,494.0,8.0,2.0,"['TypeScript', 'HTML', 'JavaScript']",1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
louisbrunner,checks-action,api management,40,3.0,2,14,57,5,207,7,2013,30,4,30,0,2013000,1,GitHub Action which wraps calls to GitHub Checks API,TypeScript,MIT License,False,True,211.0,298,332.0,57.0,5.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luisalejandro,movie-box,utilities,200,4.0,7,4,8,2,23,4,868,30,3,30,3,868000,1,📺 Get your last watched movies and shows (+more) report from trakt.tv in a GitHub Gist. ,JavaScript,GNU General Public License v3.0,False,True,23.0,419,211.0,8.0,2.0,"['JavaScript', 'Makefile', 'Dockerfile', 'Smarty']",1.0,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
markusjx,install-boost,continuous integration,120,12.0,4,15,4,2,68,4,3507,30,2,24,2,3507000,2,Install boost on Github actions,TypeScript,MIT License,False,False,68.0,94,59.0,4.0,2.0,"['TypeScript', 'CMake', 'C++']",,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mastersam07,firebase-app-distribution-action,publishing,64,7.0,5,3,4,2,18,3,881,20,5,18,4,881000,2,Action to upload app artifacts (.apk or .ipa) to Firebase App Distribution.,JavaScript,MIT License,False,False,18.0,11,20.0,4.0,2.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meilcli,npm-update-check-action,utilities,30,0.0,6,30,1,3,24,4,3939,30,3,30,3,3939000,0,npm new package version check action for GitHub Actions.,TypeScript,MIT License,False,True,24.0,1662,1240.0,1.0,3.0,"['TypeScript', 'JavaScript', 'Ruby']",1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
mishakav,pytest-coverage-comment,testing,41,2.0,6,30,60,2,192,15,714,30,11,30,6,714000,0,Comments a pull request with the pytest code coverage badge and full report,JavaScript,MIT License,False,True,197.0,123,198.0,61.0,2.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
morrisoncole,pr-lint-action,utilities,503,23.0,4,19,23,3,65,13,57435,30,14,30,0,57435000,2,:octocat:  A fast 🔥 TypeScript GitHub Action to ensure that your PR title matches a given regex.,JavaScript,MIT License,False,True,65.0,1059,963.0,24.0,3.0,"['JavaScript', 'TypeScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mozilla-actions,sccache-action,dependency management,33,2.0,6,7,24,2,129,14,1255,30,15,30,5,1255000,0,sccache github action,TypeScript,Apache License 2.0,False,True,129.0,224,181.0,24.0,2.0,['TypeScript'],,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
octopusdeploy,install-octopus-cli-action,deployment,25,0.0,6,16,18,17,82,17,11777,30,10,30,1,11777000,0,| Public |  :octocat: GitHub Action to Install the Octopus CLI,TypeScript,Other,True,True,82.0,622,521.0,18.0,17.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reactivecircus,android-emulator-runner,testing,28,24.0,6,30,201,15,1014,30,1968,30,76,30,8,1968000,2,"A GitHub Action for installing, configuring and running hardware-accelerated Android Emulators on macOS virtual machines.",TypeScript,Apache License 2.0,False,True,1028.0,254,407.0,202.0,15.0,"['TypeScript', 'JavaScript', 'Kotlin']",1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
readme-workflows,recent-activity,utilities,129,7.0,12,15,45,2,135,10,26228,30,10,30,9,26228000,2,Add your recent activity to your profile readme!,JavaScript,MIT License,True,True,137.0,5089,304.0,45.0,2.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rebilly,lexi,code review,582,4.0,1,14,2,21,39,7,5829,30,1,30,0,5829000,1,Reduce content complexity,TypeScript,MIT License,False,True,40.0,284,423.0,2.0,21.0,"['TypeScript', 'Vue', 'HTML', 'CSS']",,1.0,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
reedyuk,npm-version,publishing,8,1.0,1,7,5,3,19,5,60,9,1,5,0,60000,0,,JavaScript,GNU General Public License v3.0,False,True,19.0,157,9.0,5.0,3.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reggionick,s3-deploy,deployment,10,0.0,10,12,84,4,249,18,477,30,14,30,3,477000,0,Easily deploy a static website to AWS S3 and invalidate CloudFront distribution,JavaScript,MIT License,False,True,250.0,98,211.0,86.0,4.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
satak,webrequest-action,utilities,19,8.0,3,10,16,2,48,2,1120,30,2,30,2,1120000,2,GitHub action for web requests,JavaScript,MIT License,False,True,49.0,87,36.0,16.0,2.0,"['JavaScript', 'PowerShell']",1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
