repo_owner,repo_name,Category,Number of Components,vulnerability-proneness-all,branches,releases,forks,watchers,stargazers,contributors,size,totalIssues,openIssues,totalPullRequests,openPullRequests,codeLines,vp-category-equalfreq
docker-practice,actions-setup-docker,container ci,4,1.0,3,15,36,3,95,3,737,30,15,9,2,737000,0
dorny,test-reporter,testing,134,14.0,14,15,218,15,875,30,13597,30,123,30,8,13597000,2
dotnet,nbgv,project management,312,3.0,7,7,8,6,53,6,19222,30,5,30,5,19222000,1
dromara,issues-translate-action,localization,149,20.0,12,11,28,7,196,4,978,30,11,30,6,978000,2
dynatrace-oss,dynatrace-github-action,utilities,23,1.0,18,9,7,5,32,6,902,30,22,30,7,902000,0
editorconfig-checker,action-editorconfig-checker,utilities,32,6.0,1,6,5,9,22,7,606,30,0,30,0,606000,1
einaregilsson,beanstalk-deploy,deployment,0,8.0,6,20,138,4,629,12,74,30,40,30,4,74000,2
endorlabs,github-action,security,650,7.0,15,11,2,15,45,16,8474,30,1,30,1,8474000,2
eregon,publish-release,deployment,54,2.0,3,8,9,3,38,5,287,15,1,11,1,287000,0
errata-ai,vale-action,testing,97,2.0,4,16,52,8,204,20,46066,30,18,30,1,46066000,0
exercism,pr-commenter-action,code review,35,1.0,3,8,16,4,39,9,289,30,5,30,2,289000,0
expo,expo-github-action,deployment,14,37.0,30,30,80,7,833,30,30076,30,43,30,6,30076000,2
fabasoad,twilio-voice-call-action,utilities,351,2.0,1,29,2,2,16,6,18089,30,0,30,0,18089000,0
fjogeleit,yaml-update-action,utilities,58,5.0,3,27,48,5,148,11,3978,30,6,30,2,3978000,1
forcedotcom,run-code-analyzer,security,150,10.0,5,3,3,5,45,3,2360,30,4,30,3,2360000,2
fpicalausa,remove-stale-branches,utilities,28,3.0,7,16,11,3,20,8,2290,30,15,17,3,2290000,1
frictionlessdata,frictionless-ci,code quality,5,0.0,3,2,12,10,39,8,3794,30,14,18,2,3794000,0
fwilhe2,setup-kotlin,continuous integration,489,2.0,7,21,7,2,31,5,4708,30,2,30,2,4708000,0
gabrielfalcao,pyenv-action,dependency management,35,6.0,16,18,20,4,39,7,1999,30,22,30,13,1999000,1
gagoar,codeowners-generator,utilities,97,2.0,6,7,10,5,57,15,1449,30,12,30,4,1449000,0
game-ci,unity-builder,game ci,922,27.0,19,30,269,16,883,30,89242,30,78,30,15,89242000,2
gautamkrishnar,keepalive-workflow,utilities,83,5.0,2,27,28,3,191,16,701,30,0,23,0,701000,1
getong,mariadb-action,container ci,249,25.0,1,12,9,3,25,6,34,17,2,11,0,34000,2
github,accessibility-alt-text-bot,utilities,344,1.0,23,9,16,7,78,8,9239,30,3,30,0,9239000,0
github,branch-deploy,deployment,51,6.0,1,30,50,67,421,18,31597,30,4,30,0,31597000,1
github,combine-prs,utilities,36,3.0,4,19,6,66,121,10,2940,30,7,30,2,2940000,1
github,command,utilities,48,2.0,1,10,6,39,109,5,3663,30,2,30,0,3663000,0
